MERRA_ID,YEAR,MONTH,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
137241,2015,2,0.53,3890.8
137241,2015,11,0.54,3020.1
138346,2015,1,0.35,3192.9
138348,2015,2,0.3,4616.9
138346,2015,3,0.27,5835.1
138349,2015,3,0.25,5910
138349,2015,5,0.42,7460.6
138346,2015,6,0.22,8318.1
138346,2015,7,0.28,7686.6
138348,2015,7,0.34,7431.2
138347,2015,8,0.36,6922.5
138346,2015,11,0.14,3954.6
138349,2015,4,0.3,7443.2
138349,2015,11,0.17,3945.3
138922,2015,3,0.28,5781.2
138924,2015,3,0.28,5884.6
138922,2015,6,0.22,8404.2
138922,2015,11,0.14,3889.8
138924,2015,11,0.18,3909.5
144732,2015,1,0.62,2170.5
151077,2015,12,0.72,986.3
148770,2015,6,0.55,6622.5
149346,2015,3,0.55,4121.5
149346,2015,6,0.54,6559.5
149346,2015,8,0.37,5851.1
149346,2015,10,0.56,2859.7
149346,2015,12,0.72,1157.6
149922,2015,2,0.71,2394.9
149922,2015,9,0.4,4599.8
151077,2015,2,0.73,2367.8
151077,2015,4,0.56,5134.4
151077,2015,9,0.42,4319.7
151077,2015,11,0.56,1756.4
133786,2015,8,0.53,5722.8
133786,2015,9,0.59,4610
133787,2015,12,0.54,2854.5
133790,2015,6,0.49,6097.7
133790,2015,12,0.57,3028
134319,2015,2,0.28,4881.6
134361,2015,9,0.57,4706.7
134895,2015,11,0.21,4318.4
134896,2015,3,0.29,5971.8
134943,2015,5,0.41,7184.6
134943,2015,6,0.51,6066.2
134943,2015,8,0.57,5442.3
135515,2015,10,0.39,4519.9
136045,2015,5,0.29,7898.2
136620,2015,3,0.24,5825.6
136621,2015,4,0.25,7487.6
136621,2015,8,0.38,6843
137241,2015,5,0.5,6743.9
137241,2015,8,0.49,5935.9
138346,2015,4,0.27,7370.5
138346,2015,5,0.39,7678.7
138347,2015,5,0.41,7629.5
138348,2015,5,0.43,7502.2
138349,2015,9,0.38,5957.5
138349,2015,10,0.37,4558.3
138349,2015,12,0.4,3153.8
138922,2015,5,0.41,7572.3
144732,2015,6,0.65,5511.8
144732,2015,9,0.43,5046.8
144732,2015,10,0.53,3611.9
144732,2015,12,0.64,1647.8
148770,2015,3,0.54,4169.2
149346,2015,4,0.55,5204.1
149346,2015,11,0.53,1886
149922,2015,5,0.61,5923.7
149922,2015,10,0.56,2772.4
149922,2015,12,0.73,1123.1
151077,2015,7,0.36,6922.6
151077,2015,10,0.56,2801.5
133786,2016,4,0.4,6065.9
133787,2016,10,0.31,5141.4
134319,2016,4,0.23,7745.1
134319,2016,6,0.27,7600.7
134319,2016,7,0.4,6756.5
134943,2016,1,0.51,3057.9
134943,2016,2,0.37,4140.3
135515,2016,6,0.49,6691.9
135515,2016,9,0.38,5416.2
136045,2016,4,0.31,7273.7
136045,2016,5,0.14,8331.8
