STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1017,1976,12,"FHWA Class 12 (Six axle, multi trailer truck)",1.0800000429153442,-14.229999542236328,compound,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,4,FHWA Class 4 (Buses),0,39.77000045776367,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,4,FHWA Class 4 (Buses),0.6499999761581421,12.149999618530273,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.03999999910593033,17.81999969482422,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1997,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",2.5299999713897705,3.4700000286102295,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,6,FHWA Class 6 (Three axle Single-unit truck),6.829999923706055,3.0999999046325684,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",16.149999618530273,3.0999999046325684,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",15.279999732971191,3.680000066757202,compound,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,8,"FHWA Class 8 (Four or less axle, one trailer truck)",6.800000190734863,6.769999980926514,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,8,"FHWA Class 8 (Four or less axle, one trailer truck)",9.770000457763672,7.5,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,7,FHWA Class 7 (Four or more axle Single-unit truck),0,33,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,7,FHWA Class 7 (Four or more axle Single-unit truck),0.550000011920929,-3.2699999809265137,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,9,"FHWA Class 9 (Five axle, one trailer truck)",66.83999633789062,3.240000009536743,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,9,"FHWA Class 9 (Five axle, one trailer truck)",62.2599983215332,3.200000047683716,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,6,FHWA Class 6 (Three axle Single-unit truck),7.199999809265137,3.259999990463257,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1018,1997,8,"FHWA Class 8 (Four or less axle, one trailer truck)",9.829999923706055,4.929999828338623,compound,6,Bad - No monitoring data are present.,505
4,Arizona,1018,1976,9,"FHWA Class 9 (Five axle, one trailer truck)",53.65999984741211,4.960000038146973,compound,6,Bad - No monitoring data are present.,179
4,Arizona,1018,1997,9,"FHWA Class 9 (Five axle, one trailer truck)",52.7599983215332,4.940000057220459,compound,6,Bad - No monitoring data are present.,505
4,Arizona,1018,1976,7,FHWA Class 7 (Four or more axle Single-unit truck),0.4399999976158142,6.179999828338623,compound,6,Bad - No monitoring data are present.,179
4,Arizona,1018,1997,7,FHWA Class 7 (Four or more axle Single-unit truck),0.5600000023841858,4.789999961853027,compound,6,Bad - No monitoring data are present.,505
4,Arizona,1018,1976,8,"FHWA Class 8 (Four or less axle, one trailer truck)",9.859999656677246,4.829999923706055,compound,6,Bad - No monitoring data are present.,179
4,Arizona,1018,1976,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",21.270000457763672,4.840000152587891,compound,6,Bad - No monitoring data are present.,179
4,Arizona,1018,1997,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",20.90999984741211,4.929999828338623,compound,6,Bad - No monitoring data are present.,505
4,Arizona,1018,1976,6,FHWA Class 6 (Three axle Single-unit truck),4.75,5.050000190734863,compound,6,Bad - No monitoring data are present.,179
4,Arizona,1018,1997,6,FHWA Class 6 (Three axle Single-unit truck),4.760000228881836,4.949999809265137,compound,6,Bad - No monitoring data are present.,505
4,Arizona,1018,1976,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",2.869999885559082,13.569999694824219,linear,6,Bad - No monitoring data are present.,179
4,Arizona,1018,1997,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",3.799999952316284,5.010000228881836,compound,6,Bad - No monitoring data are present.,505
